STATE,ACTIVATE,L_BRACE,R_BRACE,ACTION,IDENTIFIER,L_PAREN,R_PAREN,COMMA,CLUSTER,L_BRACKET,R_BRACKET,VOID,SEMICOLON,ASSIGN,INSTINCT,PULSE_LIT,PULSE,SPARK,STREAM,THOUGHT,NEURON,SYNAPSE,RECALL,FLOW,DORMANT,SENSE,EXPRESS,STIMULATE,INHIBIT,CYCLE,REACT,ECHO,EVALUATE,PATH,COLON,BASE,SPARK_LIT,STREAM_LIT,THOUGHT_LIT,NEURON_LIT,EXPONENT,INCREMENT,DECREMENT,LENGTH,TRANSCRIBE,TRUE,FALSE,PLUS_ASSIGN,MINUS_ASSIGN,MUL_ASSIGN,DIV_ASSIGN,MOD_ASSIGN,OR,XOR,AND,EQUAL_TO,NOT_EQUAL,GREATER,LESS,GREATER_EQ,LESS_EQ,PLUS,MINUS,STAR,SLASH,MOD,$,PROGRAM',PROGRAM,SUBROUTINE_LIST,SUBROUTINE,PARAMS,PARAM_LIST,PARAM_ITEM,REC_TYPE,DECLARATION,ID_DECL,ID_LIST,ID_INIT,CONST_DECL,CONST_LIST,CONST_INIT,CLUSTER_DECL,CLUSTER_LIST,CLUSTER_ITEM,CLUSTER_1D,1D_INIT,CLUSTER_1D_LIST,CLUSTER_2D,2D_INIT,CLUSTER_2D_LIST,DATA_TYPE,STATEMENT_LIST,STATEMENT,IO_STMT,CONDITIONAL_STMT,OPT_INHIBIT,LOOP_STMT,ECHO_INIT,SWITCH_STMT,CASE_LIST,CASE_ITEM,OPT_BASE,CASE_VALUE,ASSIGN_STMT,EXPR,LOGIC_OR,LOGIC_XOR,LOGIC_AND,REL_EQUAL,REL_EXPR,ADD_EXPR,MULT_EXPR,POW_EXPR,UNARY_EXPR,POSTFIX_EXPR,FACTOR,VARIABLE_ACCESS,SUBROUTINE_CALL,BUILTIN_CALL,ARG_LIST,ARGS,LITERAL,ASSIGN_OP,OR_OP,XOR_OP,AND_OP,RELEQ_OP,REL_OP,ADD_OP,MUL_OP,UNARY_OP
S56,,,R58,,R58,,,,,,,,,,R58,,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,R58,,R58,R58,R58,R58,,,,,,,,,,,R58,R58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S57,,,,,,S119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S58,,,,,,,,,,,,,,,,,S8,S11,S10,S7,S14,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S59,,S121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S60,,,,,R47,,,,R47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S61,,,,,,,,,,,S122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S62,,,,,,,R6,,S126,,,,,,,,S8,S11,S10,S7,S14,S9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S124,S123,S125,,,,,,,,,,,,,,,,,,S127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S63,,,,,S132,,,,,,,,,,S134,,S55,S31,S49,S36,S60,S29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S129,S130,,,S128,,,S131,,,,,,,,,S136,,,,,,,S135,,,,,,S133,,,,,,,,,,,,,S53,,,,,,,,,,,,,,
S64,,,,,S144,S141,,,,,,,,,,S153,,,,,,,,,,,,,,,,,,,,,S140,S164,S152,S156,,S86,S72,S139,S161,S151,S162,,,,,,,,,,,,,,,S95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S138,S160,S154,S148,S150,S142,S145,S143,S157,S163,S147,S146,S158,S159,S155,,,S137,,,,,,,,,S149
S65,,,,,,,,,,,,,R109,,,,,,,,,,,,,,,,,,,,,,,,,,,,R109,R109,R109,,,,,,,,,,R109,R109,R109,R109,R109,R109,R109,R109,R109,R109,R109,R109,R109,R109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
