STATE,RULE,LOOKAHEAD,ACTION / GOTO,STATE(S) / RULE (R)
"S17","<statement> -> . <loop_stmt>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<loop_stmt>)","S37"
"S17","<statement> -> . <switch_stmt>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<switch_stmt>)","S35"
"S17","<statement> -> . <io_stmt>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Goto (<io_stmt>)","S56"
"S17","<statement> -> . RECALL <expr> SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (RECALL)","S30"
"S17","<statement> -> . FLOW SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (FLOW)","S34"
"S17","<statement> -> . DORMANT SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (DORMANT)","S44"
"S17","<io_stmt> -> . SENSE <data_type> IDENTIFIER SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (SENSE)","S58"
"S17","<io_stmt> -> . EXPRESS L_PAREN <expr> R_PAREN SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (EXPRESS)","S39"
"S17","<conditional_stmt> -> . STIMULATE L_PAREN <expr> R_PAREN L_BRACE <statement_list> R_BRACE <opt_inhibit>","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (STIMULATE)","S48"
"S17","<loop_stmt> -> . CYCLE L_PAREN <expr> R_PAREN L_BRACE <statement_list> R_BRACE","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (CYCLE)","S45"
"S17","<loop_stmt> -> . REACT L_BRACE <statement_list> R_BRACE CYCLE L_PAREN <expr> R_PAREN SEMICOLON","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (REACT)","S59"
"S17","<loop_stmt> -> . ECHO L_PAREN <echo_init> <expr> SEMICOLON <assign_stmt> R_PAREN L_BRACE <statement_list> R_BRACE","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (ECHO)","S27"
"S17","<switch_stmt> -> . EVALUATE L_PAREN <expr> R_PAREN L_BRACE <case_list> <opt_base> R_BRACE","CYCLE, DORMANT, ECHO, EVALUATE, EXPRESS, FLOW, IDENTIFIER, INSTINCT, LENGTH, NEURON, PULSE, REACT, RECALL, R_BRACE, SENSE, SPARK, STIMULATE, STREAM, SYNAPSE, THOUGHT, TRANSCRIBE","Shift (EVALUATE)","S38"
"S17","<assign_stmt> -> . <variable_access> <assign_op> <expr>","SEMICOLON","Goto (<variable_access>)","S53"
"S17","<variable_access> -> . <variable_access> L_BRACKET <expr> R_BRACKET","ASSIGN, DIV_ASSIGN, L_BRACKET, MINUS_ASSIGN, MOD_ASSIGN, MUL_ASSIGN, PLUS_ASSIGN","Goto (<variable_access>)","S53"
"S17","<variable_access> -> . IDENTIFIER","ASSIGN, DIV_ASSIGN, L_BRACKET, MINUS_ASSIGN, MOD_ASSIGN, MUL_ASSIGN, PLUS_ASSIGN","Shift (IDENTIFIER)","S41"
"S17","<subroutine_call> -> . IDENTIFIER L_PAREN <arg_list> R_PAREN","SEMICOLON","Shift (IDENTIFIER)","S41"
"S17","<builtin_call> -> . LENGTH L_PAREN <expr> R_PAREN","SEMICOLON","Shift (LENGTH)","S28"
"S17","<builtin_call> -> . TRANSCRIBE L_PAREN <expr> R_PAREN","SEMICOLON","Shift (TRANSCRIBE)","S57"
,,,,
