### 1. FIRST SETS
<program'>                | [ACTIVATE, ACTION]
<statement>               | [ECHO, STIMULATE, LENGTH, SYNAPSE, RECALL, STREAM, SPARK, FLOW, THOUGHT, EVALUATE, EXPRESS, PULSE, TRANSCRIBE, IDENTIFIER, INSTINCT, REACT, SENSE, NEURON, DORMANT, CYCLE]
<io_stmt>                 | [EXPRESS, SENSE]
<conditional_stmt>        | [STIMULATE]
<opt_inhibit>             | [ε, INHIBIT]
<loop_stmt>               | [ECHO, REACT, CYCLE]
<echo_init>               | [THOUGHT, PULSE, SYNAPSE, STREAM, IDENTIFIER, SPARK, INSTINCT, NEURON]
<switch_stmt>             | [EVALUATE]
<case_list>               | [PATH, ε]
<case_item>               | [PATH]
<opt_base>                | [ε, BASE]
<case_value>              | [NEURON_LIT, SPARK_LIT, THOUGHT_LIT, PULSE_LIT, STREAM_LIT]
<assign_stmt>             | [IDENTIFIER]
<expr>                    | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<logic_or>                | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<logic_xor>               | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<logic_and>               | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<rel_equal>               | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<rel_expr>                | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<add_expr>                | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<mult_expr>               | [LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, L_PAREN, DECREMENT, NEURON_LIT, INCREMENT, FALSE, TRANSCRIBE, IDENTIFIER, STREAM_LIT, PLUS]
<pow_expr>                | [NEURON_LIT, LENGTH, SPARK_LIT, THOUGHT_LIT, TRUE, PULSE_LIT, FALSE, TRANSCRIBE, L_PAREN, IDENTIFIER, STREAM_LIT]
